scenario,method,hour,mean_cumulative_false_alert_probability,n_defined
S2,Pointwise-alpha,0,0.0,500
S2,Pointwise-alpha,1,0.0,500
S2,Pointwise-alpha,2,0.0,500
S2,Pointwise-alpha,3,0.0,500
S2,Pointwise-alpha,4,0.0,500
S2,Pointwise-alpha,5,0.09956439999999996,500
S2,Pointwise-alpha,6,0.11800199999999988,500
S2,Pointwise-alpha,7,0.1351172,500
S2,Pointwise-alpha,8,0.15113559999999987,500
S2,Pointwise-alpha,9,0.16621440000000018,500
S2,Pointwise-alpha,10,0.18053480000000008,500
S2,Pointwise-alpha,11,0.1940236,500
S2,Pointwise-alpha,12,0.2069052,500
S2,Pointwise-alpha,13,0.21895360000000014,500
S2,Pointwise-alpha,14,0.2305624,500
S2,Pointwise-alpha,15,0.2418175999999998,500
S2,Pointwise-alpha,16,0.2525383999999998,500
S2,Pointwise-alpha,17,0.26286719999999997,500
S2,Pointwise-alpha,18,0.27268000000000003,500
S2,Pointwise-alpha,19,0.28222480000000033,500
S2,Pointwise-alpha,20,0.29142959999999984,500
S2,Pointwise-alpha,21,0.3003967999999999,500
S2,Pointwise-alpha,22,0.30899200000000027,500
S2,Pointwise-alpha,23,0.31734360000000006,500
S2,Pointwise-alpha,24,0.3253475999999999,500
S2,Pointwise-alpha,25,0.3331396,500
S2,Pointwise-alpha,26,0.3406104,500
S2,Pointwise-alpha,27,0.3479843999999998,500
S2,Pointwise-alpha,28,0.35513439999999963,500
S2,Pointwise-alpha,29,0.3621668000000001,500
S2,Pointwise-alpha,30,0.3688595999999996,500
S2,Pointwise-alpha,31,0.37532480000000024,500
S2,Pointwise-alpha,32,0.3817315999999999,500
S2,Pointwise-alpha,33,0.38791079999999983,500
S2,Pointwise-alpha,34,0.3937792000000001,500
S2,Pointwise-alpha,35,0.39942199999999983,500
S2,Pointwise-alpha,36,0.40482520000000033,500
S2,Pointwise-alpha,37,0.4098624000000001,500
S2,Pointwise-alpha,38,0.41452560000000016,500
S2,Pointwise-alpha,39,0.41881279999999993,500
S2,Pointwise-alpha,40,0.42268839999999985,500
S2,Pointwise-alpha,41,0.4260524000000001,500
S2,Pointwise-alpha,42,0.4290923999999999,500
S2,Pointwise-alpha,43,0.4317368,500
S2,Pointwise-alpha,44,0.4339919999999995,500
S2,Pointwise-alpha,45,0.43599840000000023,500
S2,Pointwise-alpha,46,0.4378076000000001,500
S2,Pointwise-alpha,47,0.4394212000000003,500
S2,Pointwise-alpha,48,0.44088640000000007,500
S2,Pointwise-alpha,49,0.4422576000000003,500
S2,Pointwise-alpha,50,0.44358359999999997,500
S2,Pointwise-alpha,51,0.4447932,500
S2,Pointwise-alpha,52,0.44601199999999974,500
S2,Pointwise-alpha,53,0.4471819999999999,500
S2,Pointwise-alpha,54,0.44832840000000024,500
S2,Pointwise-alpha,55,0.44943839999999974,500
S2,Pointwise-alpha,56,0.4505472,500
S2,Pointwise-alpha,57,0.4516284,500
S2,Pointwise-alpha,58,0.4527036,500
S2,Pointwise-alpha,59,0.4537664000000002,500
S2,Pointwise-alpha,60,0.4548008,500
S2,Pointwise-alpha,61,0.45575880000000013,500
S2,Pointwise-alpha,62,0.4567259999999999,500
S2,Pointwise-alpha,63,0.4577192000000001,500
S2,Pointwise-alpha,64,0.4586551999999996,500
S2,Pointwise-alpha,65,0.45959879999999986,500
S2,Pointwise-alpha,66,0.4605432000000002,500
S2,Pointwise-alpha,67,0.4614304,500
S2,Pointwise-alpha,68,0.4623547999999999,500
S2,Pointwise-alpha,69,0.46322519999999984,500
S2,Pointwise-alpha,70,0.4640836000000001,500
S2,Pointwise-alpha,71,0.4649520000000005,500
S2,Pointwise-alpha,72,0.4658156000000004,500
S2,Pointwise-alpha,73,0.46660800000000013,500
S2,Pointwise-alpha,74,0.4674160000000001,500
S2,Pointwise-alpha,75,0.46816399999999975,500
S2,Pointwise-alpha,76,0.46887639999999997,500
S2,Pointwise-alpha,77,0.4695583999999999,500
S2,Pointwise-alpha,78,0.4702128,500
S2,Pointwise-alpha,79,0.47080079999999985,500
S2,Pointwise-alpha,80,0.4713343999999998,500
S2,Pointwise-alpha,81,0.471843999999999,500
S2,Pointwise-alpha,82,0.4722743999999999,500
S2,Pointwise-alpha,83,0.4726592000000004,500
S2,Pointwise-alpha,84,0.472956,500
S2,Pointwise-alpha,85,0.47321919999999973,500
S2,Pointwise-alpha,86,0.47341720000000004,500
S2,Pointwise-alpha,87,0.47355599999999987,500
S2,Pointwise-alpha,88,0.4736655999999997,500
S2,Pointwise-alpha,89,0.47375599999999995,500
S2,Pointwise-alpha,90,0.4738127999999999,500
S2,Pointwise-alpha,91,0.4738519999999999,500
S2,Pointwise-alpha,92,0.4738787999999998,500
S2,Pointwise-alpha,93,0.47389759999999986,500
S2,Pointwise-alpha,94,0.47391439999999985,500
S2,Pointwise-alpha,95,0.4739231999999997,500
S2,Pointwise-alpha,96,0.47392719999999977,500
S2,Pointwise-alpha,97,0.47393079999999976,500
S2,Pointwise-alpha,98,0.4739319999999998,500
S2,Pointwise-alpha,99,0.4739331999999996,500
S2,Pointwise-alpha,100,0.4739331999999996,500
S2,Pointwise-alpha,101,0.4739335999999996,500
S2,Pointwise-alpha,102,0.47393399999999963,500
S2,Pointwise-alpha,103,0.47393399999999963,500
S2,Pointwise-alpha,104,0.47393399999999963,500
S2,Pointwise-alpha,105,0.47393399999999963,500
S2,Pointwise-alpha,106,0.47393399999999963,500
S2,Pointwise-alpha,107,0.47393399999999963,500
S2,Pointwise-alpha,108,0.47393399999999963,500
S2,Pointwise-alpha,109,0.47393399999999963,500
S2,Pointwise-alpha,110,0.47393399999999963,500
S2,Pointwise-alpha,111,0.47393399999999963,500
S2,Pointwise-alpha,112,0.47393399999999963,500
S2,Pointwise-alpha,113,0.47393399999999963,500
S2,Pointwise-alpha,114,0.47393399999999963,500
S2,Pointwise-alpha,115,0.47393399999999963,500
S2,Pointwise-alpha,116,0.47393399999999963,500
S2,Pointwise-alpha,117,0.47393399999999963,500
S2,Pointwise-alpha,118,0.47393399999999963,500
S2,Pointwise-alpha,119,0.47393399999999963,500
S2,Binwise Bonferroni,0,0.0,500
S2,Binwise Bonferroni,1,0.0,500
S2,Binwise Bonferroni,2,0.0,500
S2,Binwise Bonferroni,3,0.0,500
S2,Binwise Bonferroni,4,0.0,500
S2,Binwise Bonferroni,5,0.007629599999999995,500
S2,Binwise Bonferroni,6,0.009837599999999991,500
S2,Binwise Bonferroni,7,0.011978800000000006,500
S2,Binwise Bonferroni,8,0.014042800000000001,500
S2,Binwise Bonferroni,9,0.016017599999999993,500
S2,Binwise Bonferroni,10,0.01797880000000001,500
S2,Binwise Bonferroni,11,0.019853199999999994,500
S2,Binwise Bonferroni,12,0.020719200000000028,500
S2,Binwise Bonferroni,13,0.021868000000000005,500
S2,Binwise Bonferroni,14,0.02301600000000001,500
S2,Binwise Bonferroni,15,0.024164800000000014,500
S2,Binwise Bonferroni,16,0.0252968,500
S2,Binwise Bonferroni,17,0.026439200000000013,500
S2,Binwise Bonferroni,18,0.027606800000000032,500
S2,Binwise Bonferroni,19,0.028710000000000027,500
S2,Binwise Bonferroni,20,0.029800800000000016,500
S2,Binwise Bonferroni,21,0.030875600000000003,500
S2,Binwise Bonferroni,22,0.031951999999999994,500
S2,Binwise Bonferroni,23,0.03305039999999999,500
S2,Binwise Bonferroni,24,0.03358759999999999,500
S2,Binwise Bonferroni,25,0.034284,500
S2,Binwise Bonferroni,26,0.03500159999999999,500
S2,Binwise Bonferroni,27,0.035710399999999975,500
