scenario,method,nominal_alpha,mean_pfa,pfa_mcse,n_defined
S1,Pointwise-alpha,0.02,0.14001159999999999,0.0008079890987181043,500
S1,Pointwise-alpha,0.05,0.27362240000000004,0.0009706478408474846,500
S1,Pointwise-alpha,0.1,0.43142400000000003,0.0010310756917725915,500
S1,Pointwise-alpha,0.15,0.5475472,0.0009730282587389787,500
S1,Pointwise-alpha,0.2,0.6380768,0.0008956525836624615,500
S1,Binwise Bonferroni,0.02,0.014052,0.0002513547102816287,500
S1,Binwise Bonferroni,0.05,0.0331316,0.00038842460043159074,500
S1,Binwise Bonferroni,0.1,0.06328360000000001,0.0005439128832166581,500
S1,Binwise Bonferroni,0.15,0.092258,0.0006508416564137907,500
S1,Binwise Bonferroni,0.2,0.1201672,0.0007266996856930468,500
S1,Naive maximum,0.02,0.0214832,0.0003074235742880759,500
S1,Naive maximum,0.05,0.051424399999999995,0.0004621593576069268,500
S1,Naive maximum,0.1,0.1009164,0.0006371275265204762,500
S1,Naive maximum,0.15,0.15022359999999998,0.0007567965433960386,500
S1,Naive maximum,0.2,0.1997772,0.0008192400312347749,500
S1,PaFAR-F,0.02,0.0195208,0.00029303459397575065,500
S1,PaFAR-F,0.05,0.04957640000000001,0.00046335191385397803,500
S1,PaFAR-F,0.1,0.09929079999999998,0.0006368809192703619,500
S1,PaFAR-F,0.15,0.14850599999999997,0.0007520201837141255,500
S1,PaFAR-F,0.2,0.1982388,0.0008161459044771282,500
S1,PaFAR-T,0.02,0.0195488,0.0002961858356141239,500
S1,PaFAR-T,0.05,0.04963800000000001,0.00045884318250603276,500
S1,PaFAR-T,0.1,0.0992276,0.0006446521148482774,500
S1,PaFAR-T,0.15,0.14875280000000002,0.0007460702285252934,500
S1,PaFAR-T,0.2,0.1980692,0.000823948861381788,500
S1,PaFAR-HC,0.02,0.010058,0.00021022707448302506,500
S1,PaFAR-HC,0.05,0.03339920000000001,0.00039002471367151733,500
S1,PaFAR-HC,0.1,0.0775616,0.0005763384621260771,500
S1,PaFAR-HC,0.15,0.12296760000000001,0.000700042927741837,500
S1,PaFAR-HC,0.2,0.16832840000000002,0.0007839218927596651,500
S3,Pointwise-alpha,0.02,0.1728996,0.0008986574709979107,500
S3,Pointwise-alpha,0.05,0.3196156,0.001015696446692439,500
S3,Pointwise-alpha,0.1,0.48147840000000003,0.0009604989658541094,500
S3,Pointwise-alpha,0.15,0.5944404,0.0008619410074248475,500
S3,Pointwise-alpha,0.2,0.6797072000000001,0.0007642895874385141,500
S3,Binwise Bonferroni,0.02,0.0168172,0.00029812057976624215,500
S3,Binwise Bonferroni,0.05,0.038848799999999996,0.00044723478736571925,500
S3,Binwise Bonferroni,0.1,0.07143400000000001,0.0005833643766909185,500
S3,Binwise Bonferroni,0.15,0.10275319999999999,0.0007004282253863244,500
S3,Binwise Bonferroni,0.2,0.1326832,0.000753628334694037,500
S3,Naive maximum,0.02,0.0223732,0.0003150997607718497,500
S3,Naive maximum,0.05,0.0527948,0.0005040944438661007,500
S3,Naive maximum,0.1,0.102506,0.0006803503223503641,500
S3,Naive maximum,0.15,0.15311560000000002,0.0008061379721488627,500
S3,Naive maximum,0.2,0.20313119999999998,0.0008789726953200745,500
S3,PaFAR-F,0.02,0.0205276,0.00030129113690640936,500
S3,PaFAR-F,0.05,0.050974000000000005,0.0004935304982525506,500
S3,PaFAR-F,0.1,0.10065800000000001,0.0006761628090102095,500
S3,PaFAR-F,0.15,0.1515296,0.0007959724316229849,500
S3,PaFAR-F,0.2,0.201542,0.0008876330417653836,500
S3,PaFAR-T,0.02,0.020668,0.00030998666982781994,500
S3,PaFAR-T,0.05,0.0501628,0.0004889322056517109,500
S3,PaFAR-T,0.1,0.10089920000000001,0.00068060388039153,500
S3,PaFAR-T,0.15,0.151458,0.0008048696430382804,500
S3,PaFAR-T,0.2,0.2017052,0.0008937322308840842,500
