scenario,method,alpha,mean_pfa,pfa_mcse,mean_sens3,sens3_mcse,n_defined
S3,Binwise Bonferroni,0.05,0.038848799999999996,0.00044723478736571925,0.088375,0.0007344102851498389,500
S3,Binwise Bonferroni,0.1,0.07143400000000001,0.0005833643766909185,0.132031,0.0007804583964678927,500
S3,Pointwise-alpha,0.05,0.3196156,0.001015696446692439,0.33465599999999995,0.000627524423272598,500
S3,Pointwise-alpha,0.1,0.48147840000000003,0.0009604989658541094,0.38147900000000007,0.0005061427456339922,500
S3,PaFAR-F,0.05,0.050974000000000005,0.0004935304982525506,0.114715,0.000768757781784424,500
S3,PaFAR-F,0.1,0.10065800000000001,0.0006761628090102095,0.17873599999999998,0.0008238179167266512,500
S3,PaFAR-T,0.05,0.0501628,0.0004889322056517109,0.119149,0.0007741105167767512,500
S3,PaFAR-T,0.1,0.10089920000000001,0.00068060388039153,0.183344,0.0007944732238450921,500
S3,PaFAR-HC,0.05,0.034734,0.0003932754494731608,0.088516,0.0007125186690237771,500
S3,PaFAR-HC,0.1,0.0782732,0.0006011865384621117,0.152793,0.0008181760973363282,500
E2,Binwise Bonferroni,0.05,0.042754062935674166,0.0009971883918641444,0.014663851251489468,0.0010139818541767451,100
E2,Binwise Bonferroni,0.1,0.08062298917037176,0.0014063212664129669,0.02449379391250147,0.00136588038290322,100
E2,Pointwise-alpha,0.05,0.42225766062777287,0.005043385663306905,0.09735648849051656,0.002736715862109039,100
E2,Pointwise-alpha,0.1,0.594951480205673,0.005863416941291526,0.11351496323975757,0.0027707135081275727,100
E2,PaFAR-F,0.05,0.050790250591394616,0.001235881836464834,0.0211870728958774,0.001375681947090668,100
E2,PaFAR-F,0.1,0.10132861586459375,0.0016566481998978877,0.037726827898653,0.0018500966912556615,100
E2,PaFAR-T,0.05,0.04973884160079636,0.0010678474055525818,0.01723458869293172,0.0012008068838855281,100
E2,PaFAR-T,0.1,0.0984676084967814,0.0013947911157150248,0.03083784920214984,0.0016306238873851422,100
E2,PaFAR-HC,0.05,0.0355339421215328,0.001066636368157995,0.015193800386783682,0.0012327487974285072,100
E2,PaFAR-HC,0.1,0.0815858379597738,0.0014668101554320338,0.031662455044222146,0.0016573168439326022,100
