scenario,strategy,target_m0,metric,mean,mcse,n_defined
S4,Direct source transfer,0,pfa,0.2804792,0.0011861913313074488,500
S4,Direct source transfer,0,sens3,0.26559299999999997,0.0006817310440583337,500
S4,Local PaFAR-F,100,pfa,0.0988588,0.0013549918268468055,500
S4,Local PaFAR-F,100,sens3,0.14786899999999997,0.001290369243111108,500
S4,Local PaFAR-F,250,pfa,0.1014388,0.0008797113920978706,500
S4,Local PaFAR-F,250,sens3,0.151642,0.0008694870254205922,500
S4,Local PaFAR-F,500,pfa,0.1002696,0.0006366817092376343,500
S4,Local PaFAR-F,500,sens3,0.15104800000000002,0.0006454320701005091,500
S4,Local PaFAR-T,100,pfa,0.09893879999999998,0.0013651941470862218,500
S4,Local PaFAR-T,100,sens3,0.145537,0.0013119583573661649,500
S4,Local PaFAR-T,250,pfa,0.1016908,0.0008925835543651059,500
S4,Local PaFAR-T,250,sens3,0.149411,0.0008855934221858458,500
S4,Local PaFAR-T,500,pfa,0.1004448,0.0006201440018948601,500
S4,Local PaFAR-T,500,sens3,0.148866,0.0006581796783386401,500
S4,Local PaFAR-HC,100,pfa,0.050487199999999996,0.0010161443849878245,500
S4,Local PaFAR-HC,100,sens3,0.09453,0.0013082044939519172,500
S4,Local PaFAR-HC,250,pfa,0.0693584,0.0007507111250451354,500
S4,Local PaFAR-HC,250,sens3,0.1189,0.0008646393481705593,500
S4,Local PaFAR-HC,500,pfa,0.0785792,0.0005446997432904493,500
S4,Local PaFAR-HC,500,sens3,0.129476,0.0006268834131058618,500
E3,Direct source transfer,0,pfa,0.1358850492239665,0.002879449735450174,50
E3,Direct source transfer,0,sens3,0.05281242279179065,0.002403087676821796,50
E3,Local PaFAR-F,100,pfa,0.09291898617102828,0.0038556103604026346,50
E3,Local PaFAR-F,100,sens3,0.039062788320181493,0.0023213457678946665,50
E3,Local PaFAR-F,250,pfa,0.09618144925059345,0.002899495526980996,50
E3,Local PaFAR-F,250,sens3,0.03968864357640128,0.0020163564080532036,50
E3,Local PaFAR-F,500,pfa,0.0996022585227997,0.0020760506503933415,50
E3,Local PaFAR-F,500,sens3,0.04137788911955059,0.0019115293343114933,50
E3,Local PaFAR-T,100,pfa,0.10419233872664295,0.003942599367228367,50
E3,Local PaFAR-T,100,sens3,0.03153511970539251,0.002344390213106352,50
E3,Local PaFAR-T,250,pfa,0.10007487966853876,0.002493254817924007,50
E3,Local PaFAR-T,250,sens3,0.029883692648800645,0.002090767956957293,50
E3,Local PaFAR-T,500,pfa,0.09958323218420709,0.002086974223152358,50
E3,Local PaFAR-T,500,sens3,0.029557593108387587,0.0020079477176148763,50
E3,Local PaFAR-HC,100,pfa,0.04626420184597463,0.0030704041477745076,50
E3,Local PaFAR-HC,100,sens3,0.020805253694613675,0.00170671930015279,50
E3,Local PaFAR-HC,250,pfa,0.06572148262487952,0.002288894176922073,50
E3,Local PaFAR-HC,250,sens3,0.02751104161579719,0.0017575080271092145,50
E3,Local PaFAR-HC,500,pfa,0.07651963779626972,0.00182564046681694,50
E3,Local PaFAR-HC,500,sens3,0.03270160924787517,0.001719277225535468,50
