alpha,method,pfa,sens3,sens0,premature,median_lead,ppv3,ppv0,alerts_per_100d,episodes_per_patient,utility,n_non_events,n_events,n_sens3,n_sens0,n_alerted,n_valid3,n_valid0,total_episodes,exposure_days,raw_utility,pfa_lower_95,pfa_upper_95
0.05,Fixed 0.5,0.5074866310160427,0.1058558558558558,0.1387665198237885,0.775330396475771,4.0,0.0110458284371327,0.0148061104582843,58.63197960164074,0.8286537979443469,0.2961790966386554,7480,498,444,454,4255,47,63,6611,11275.416666666666,-1996.3,0.496788101604278,0.5181851604278075
0.05,Youden,0.824331550802139,0.1238738738738738,0.1431718061674008,0.8458149779735683,4.0,0.0082594984231866,0.0097612254092206,94.85237057019329,1.3405615442466785,0.128235877684407,7480,498,444,454,6659,55,65,10695,11275.416666666666,-3275.355555555556,0.8157754010695187,0.8328877005347594
0.05,Pointwise-alpha,0.2768716577540107,0.0855855855855855,0.1079295154185022,0.5881057268722467,4.0,0.0156378600823045,0.0201646090534979,28.876981634085958,0.4081223364251692,0.2534175128384688,7480,498,444,454,2430,38,49,3256,11275.416666666666,-2321.9722222222217,0.2667045454545454,0.2865006684491978
0.05,Bonferroni,0.0399732620320855,0.0292792792792792,0.0484581497797356,0.3325991189427312,3.0,0.0251937984496124,0.0426356589147286,6.013081556483501,0.0849837051892705,0.2610235760971054,7480,498,444,454,516,13,22,678,11275.416666666666,-2264.0444444444447,0.0356951871657754,0.0442513368983957
0.05,PaFAR-F,0.05,0.0495495495495495,0.0682819383259911,0.2268722466960352,3.0,0.0404411764705882,0.056985294117647,6.625032334355716,0.0936324893457006,0.1051762371615313,7480,498,444,454,544,22,31,747,11275.416666666666,-3450.977777777777,0.0450501336898395,0.0546791443850267
0.05,PaFAR-T,0.0574866310160427,0.0405405405405405,0.0682819383259911,0.2334801762114537,3.0,0.0297520661157024,0.0512396694214876,8.85111414951406,0.1250940085234394,0.1340044351073763,7480,498,444,454,605,18,31,998,11275.416666666666,-3231.422222222222,0.052807486631016,0.0628342245989304
0.05,PaFAR-HC,0.0421122994652406,0.027027027027027,0.0462555066079295,0.2026431718061674,3.0,0.0260303687635574,0.0455531453362256,5.6760651860611215,0.0802206066683379,0.090374795751634,7480,498,444,454,461,12,21,640,11275.416666666666,-3563.7055555555557,0.037566844919786,0.0463903743315508
0.1,Fixed 0.5,0.5074866310160427,0.1058558558558558,0.1387665198237885,0.775330396475771,4.0,0.0110458284371327,0.0148061104582843,58.63197960164074,0.8286537979443469,0.2961790966386554,7480,498,444,454,4255,47,63,6611,11275.416666666666,-1996.3,0.496788101604278,0.5181851604278075
0.1,Youden,0.824331550802139,0.1238738738738738,0.1431718061674008,0.8458149779735683,4.0,0.0082594984231866,0.0097612254092206,94.85237057019329,1.3405615442466785,0.128235877684407,7480,498,444,454,6659,55,65,10695,11275.416666666666,-3275.355555555556,0.8157754010695187,0.8328877005347594
0.1,Pointwise-alpha,0.4255347593582887,0.0855855855855855,0.118942731277533,0.724669603524229,4.0,0.0105263157894736,0.0149584487534626,43.98063634012047,0.6215843569816997,0.2723112161531279,7480,498,444,454,3610,38,54,4959,11275.416666666666,-2178.0777777777776,0.4136363636363636,0.4367647058823529
0.1,Bonferroni,0.0704545454545454,0.0563063063063063,0.0726872246696035,0.3612334801762114,3.0,0.0325520833333333,0.04296875,9.126048556963896,0.128979694158937,0.277406483426704,7480,498,444,454,768,25,33,1029,11275.416666666666,-2139.2722222222224,0.0648395721925133,0.0758021390374331
0.1,PaFAR-F,0.1024064171122994,0.0608108108108108,0.0859030837004405,0.3436123348017621,3.0,0.0269730269730269,0.0389610389610389,12.159195890765307,0.1718475808473301,0.1616968662464986,7480,498,444,454,1001,27,39,1371,11275.416666666666,-3020.5166666666664,0.0955882352941176,0.1089605614973262
0.1,PaFAR-T,0.1048128342245989,0.0585585585585585,0.0947136563876652,0.3656387665198238,3.0,0.0251207729468599,0.0415458937198067,15.88411366911792,0.2244923539734269,0.1906330240429505,7480,498,444,454,1035,26,43,1791,11275.416666666666,-2800.1388888888887,0.0977272727272727,0.1114973262032085
0.1,PaFAR-HC,0.0907754010695187,0.0427927927927927,0.0726872246696035,0.3281938325991189,3.0,0.0211111111111111,0.0366666666666666,10.93529433502088,0.1545500125344698,0.154609447945845,7480,498,444,454,900,19,33,1233,11275.416666666666,-3074.494444444444,0.0843549465240641,0.0970588235294117
