Experiment,Strategy,Target m0,Target PFA,Sens3,PPV3,Threshold mean (SD)
Experiment I,Direct source transfer,0,0.280 (0.001),0.266 (0.001),0.084 (0.000),-1.424 (0.046)
Experiment I,Local PaFAR-F,100,0.099 (0.001),0.148 (0.001),0.116 (0.000),-0.996 (0.104)
Experiment I,Local PaFAR-F,250,0.101 (0.001),0.152 (0.001),0.115 (0.000),-1.013 (0.065)
Experiment I,Local PaFAR-F,500,0.100 (0.001),0.151 (0.001),0.115 (0.000),-1.011 (0.046)
Experiment I,Local PaFAR-T (source template),500,0.100 (0.001),0.149 (0.001),0.114 (0.000),2.941 (0.111)
Experiment I,Local PaFAR-HC,500,0.079 (0.001),0.129 (0.001),0.121 (0.000),-0.930 (0.048)
Experiment II,Direct source transfer,0,0.136 (0.003),0.053 (0.002),0.036 (0.001),0.897 (0.206)
Experiment II,Local PaFAR-F,100,0.093 (0.004),0.039 (0.002),0.038 (0.002),0.969 (0.229)
Experiment II,Local PaFAR-F,250,0.096 (0.003),0.040 (0.002),0.038 (0.002),0.962 (0.224)
Experiment II,Local PaFAR-F,500,0.100 (0.002),0.041 (0.002),0.038 (0.002),0.955 (0.219)
Experiment II,Local PaFAR-T (source template),500,0.100 (0.002),0.030 (0.002),0.028 (0.002),3.367 (0.540)
Experiment II,Local PaFAR-HC,500,0.077 (0.002),0.033 (0.002),0.038 (0.002),1.001 (0.234)
