Direction,Strategy,Target m0,Target PFA,Sens3,PPV3,Utility
A→B,Direct source transfer,0,"0.032 [0.029, 0.036]",0.007,0.008,0.016
A→B,Local PaFAR-F,100,"0.070 [0.065, 0.076]",0.033,0.017,0.039
A→B,Local PaFAR-F,250,"0.084 [0.078, 0.090]",0.033,0.014,0.045
A→B,Local PaFAR-F,500,"0.082 [0.076, 0.087]",0.033,0.015,0.043
A→B,Local PaFAR-F,1000,"0.094 [0.088, 0.100]",0.035,0.014,0.050
A→B,Local PaFAR-T,500,"0.086 [0.081, 0.092]",0.033,0.013,0.177
A→B,Local PaFAR-HC,500,"0.064 [0.059, 0.069]",0.028,0.015,0.035
B→A,Direct source transfer,0,"0.315 [0.306, 0.325]",0.062,0.013,0.223
B→A,Local PaFAR-F,100,"0.092 [0.086, 0.098]",0.039,0.024,0.109
B→A,Local PaFAR-F,250,"0.115 [0.108, 0.121]",0.043,0.022,0.124
B→A,Local PaFAR-F,500,"0.127 [0.121, 0.134]",0.044,0.021,0.131
B→A,Local PaFAR-F,1000,"0.102 [0.096, 0.108]",0.044,0.025,0.117
B→A,Local PaFAR-T,500,"0.114 [0.108, 0.121]",0.040,0.022,0.100
B→A,Local PaFAR-HC,500,"0.093 [0.087, 0.099]",0.039,0.024,0.110
