Scenario,Method,Nominal alpha,Mean PFA,PFA MCSE,Mean alpha_m0,alpha_m0 MCSE,n defined
S1,PaFAR-F,0.02,0.0195208,0.00029303459397575065,0.019960079840319358,1.5531377608868536e-19,500
S1,PaFAR-F,0.05,0.04957640000000001,0.00046335191385397803,0.0499001996007984,0.0,500
S1,PaFAR-F,0.1,0.09929079999999998,0.0006368809192703619,0.0998003992015968,0.0,500
S1,PaFAR-F,0.15,0.14850599999999997,0.0007520201837141255,0.1497005988023952,0.0,500
S1,PaFAR-F,0.2,0.1982388,0.0008161459044771282,0.1996007984031936,0.0,500
S1,PaFAR-T,0.02,0.0195488,0.0002961858356141239,0.019960079840319358,1.5531377608868536e-19,500
S1,PaFAR-T,0.05,0.04963800000000001,0.00045884318250603276,0.0499001996007984,0.0,500
S1,PaFAR-T,0.1,0.0992276,0.0006446521148482774,0.0998003992015968,0.0,500
S1,PaFAR-T,0.15,0.14875280000000002,0.0007460702285252934,0.1497005988023952,0.0,500
S1,PaFAR-T,0.2,0.1980692,0.000823948861381788,0.1996007984031936,0.0,500
S2,PaFAR-F,0.02,0.019662,0.0002743176486205169,0.019960079840319358,1.5531377608868536e-19,500
S2,PaFAR-F,0.05,0.0491576,0.0004622970490963644,0.0499001996007984,0.0,500
S2,PaFAR-F,0.1,0.0987732,0.0006313935374378141,0.0998003992015968,0.0,500
S2,PaFAR-F,0.15,0.148304,0.0007595556975728843,0.1497005988023952,0.0,500
S2,PaFAR-F,0.2,0.19763999999999998,0.0008562396233445229,0.1996007984031936,0.0,500
S2,PaFAR-T,0.02,0.0196536,0.00027914501241453664,0.019960079840319358,1.5531377608868536e-19,500
S2,PaFAR-T,0.05,0.04908320000000001,0.0004452601359850158,0.0499001996007984,0.0,500
S2,PaFAR-T,0.1,0.09886080000000001,0.0006461368836902362,0.0998003992015968,0.0,500
S2,PaFAR-T,0.15,0.1481792,0.0007641977303434787,0.1497005988023952,0.0,500
S2,PaFAR-T,0.2,0.1976204,0.0008580755648718008,0.1996007984031936,0.0,500
S3,PaFAR-F,0.02,0.0205276,0.00030129113690640936,0.019960079840319358,1.5531377608868536e-19,500
S3,PaFAR-F,0.05,0.050974000000000005,0.0004935304982525506,0.0499001996007984,0.0,500
S3,PaFAR-F,0.1,0.10065800000000001,0.0006761628090102095,0.0998003992015968,0.0,500
S3,PaFAR-F,0.15,0.1515296,0.0007959724316229849,0.1497005988023952,0.0,500
S3,PaFAR-F,0.2,0.201542,0.0008876330417653836,0.1996007984031936,0.0,500
S3,PaFAR-T,0.02,0.020668,0.00030998666982781994,0.019960079840319358,1.5531377608868536e-19,500
S3,PaFAR-T,0.05,0.0501628,0.0004889322056517109,0.0499001996007984,0.0,500
S3,PaFAR-T,0.1,0.10089920000000001,0.00068060388039153,0.0998003992015968,0.0,500
S3,PaFAR-T,0.15,0.151458,0.0008048696430382804,0.1497005988023952,0.0,500
S3,PaFAR-T,0.2,0.2017052,0.0008937322308840842,0.1996007984031936,0.0,500
E1,PaFAR-F,0.02,0.018294507308960862,0.0007784402742034081,0.01868983207244723,4.501829298811649e-05,100
E1,PaFAR-F,0.05,0.048287097553438886,0.0014225967947367325,0.049150558663918396,5.9215490330845216e-05,100
E1,PaFAR-F,0.1,0.09824128829104758,0.0015392387545991972,0.09922911729205439,5.237989671538018e-05,100
E1,PaFAR-F,0.15,0.14879370972436676,0.00188221546770806,0.1491043304202651,5.193777980197383e-05,100
E1,PaFAR-F,0.2,0.19884818857418599,0.0020262457302667515,0.19925563432756413,5.001753894664722e-05,100
E1,PaFAR-T,0.02,0.018586323845823333,0.0006361645887409118,0.01868983207244723,4.501829298811649e-05,100
E1,PaFAR-T,0.05,0.0491544339179041,0.0011222428271668665,0.049150558663918396,5.9215490330845216e-05,100
E1,PaFAR-T,0.1,0.10014914459496543,0.0015179156979514663,0.09922911729205439,5.237989671538018e-05,100
E1,PaFAR-T,0.15,0.1480495556375284,0.0018677758622001894,0.1491043304202651,5.193777980197383e-05,100
E1,PaFAR-T,0.2,0.19728117351888805,0.0020870786881640813,0.19925563432756413,5.001753894664722e-05,100
E2,PaFAR-F,0.02,0.01875044781169057,0.0007551871521085214,0.01870737001233302,5.121703489550962e-05,100
E2,PaFAR-F,0.05,0.050790250591394616,0.001235881836464834,0.04919766774840352,5.4865705493114094e-05,100
E2,PaFAR-F,0.1,0.10132861586459375,0.0016566481998978877,0.09917187666509253,5.1524106663813514e-05,100
E2,PaFAR-F,0.15,0.15025051439184145,0.0021145835459225005,0.14920050699436588,5.6109684228257875e-05,100
E2,PaFAR-F,0.2,0.20017668182048173,0.0021993011729257864,0.1992837239195288,5.5556749562529803e-05,100
E2,PaFAR-T,0.02,0.019044631312404605,0.0006691791409817518,0.01870737001233302,5.121703489550962e-05,100
E2,PaFAR-T,0.05,0.04973884160079636,0.0010678474055525818,0.04919766774840352,5.4865705493114094e-05,100
E2,PaFAR-T,0.1,0.0984676084967814,0.0013947911157150248,0.09917187666509253,5.1524106663813514e-05,100
E2,PaFAR-T,0.15,0.14913332946459876,0.0017969215925957662,0.14920050699436588,5.6109684228257875e-05,100
E2,PaFAR-T,0.2,0.20014344491343594,0.0021507107426351345,0.1992837239195288,5.5556749562529803e-05,100
